numphylotag	phylotag	Transmittance	MTT	MTTSd	DMT	DMTSign	MTO	MTOSd	FWLength	FWTotalArea	FWTranspArea	PropTransp	Wing	Genus	species	ssp	SpType	MicroTransparentZone	Nano	MicroOpaqueZone
264	Dircenna_olyras	28.68935621	730.4000244	81.58566284	649.5999756	P	1380	76.36753082	33.253	356.361	200.744	56.33	FW	Dircenna	olyras	relata	B	PE	sponge	LE
261	Dircenna_dero	39.00327918	731.7399902	99.74040222	651.2600098	P	1383	22.62741661	33.561	365.719	195.794	53.54	FW	Dircenna	dero	spnov.2	B	PE	sponge	LE
51	Ithomia_avella	29.39973553	839.5	225.4667664	658.5	P	1498		31.781	342.497	202.174	59.03	FW	Ithomia	avella	epona	B	PE	pillars	LF
225	Pteronymia_oneida	32.30586877	755.2000122	97.43795776	658.7999878	P	1414		27.858	252.246	141.866	56.24	FW	Pteronymia	oneida	oneida	B	PE	sponge	LE
231	Pteronymia_spnovcottidiana	60.48688985	830.8599854	43.25162506	661.1400146	P	1492	202.2325439	26.806	241.665	141.847	58.7	FW	Pteronymia	mariannae		B	PE		LE
293	Godyris_zavaleta	35.52201459	810.460022	38.0765419	676.539978	P	1487	62.2253952	32.272	356.221	170.575	47.88	FW	Godyris	zavaleta		B	PE	pillars	LE
320	Hypomenitis_ortygia	55.10563126	656.5999756	77.20837402	696.9000244	P	1353.5	284.9640198	28.126	260.126	161.491	62.08	FW	Hypomenitis	ortygia	ortygia	B	PE	pillars	LE
328	Hypomenitis_depauperata	62.27714621	736.4400024	57.028965	699.5599976	P	1436	104.6518021	30.569	276.699	187.057	67.6	FW	Hypomenitis	depauperata	umbrosa	B	PE	pillars	LE
262	Dircenna_loreta	43.6882444	862.0599976	24.28503609	735.9400024	P	1598	60.81118393	38.404	422.61	220.031	52.06	FW	Dircenna	loreta	melini	B	PE	sponge	LE
258	Pteronymia_sao	48.72104556	774.7399902	43.23271942	784.2600098	P	1559	100.4091644	25.745	233.182	132.669	56.9	FW	Pteronymia	sao	antisao	B	PE	sponge	LE
300	Godyris_dircenna	51.92566282	877.2600098	25.83298302	791.2399902	P	1668.5	174.6553802	34.213	359.03	206.892	57.63	FW	Godyris	dircenna		B	PE	pillars	LE
75	Ithomia_terra	39.56651266	421.7200012	67.93225861	830.6299744	P	1252.349976	476.0950012	24.1255	204.928	102.647	50.09	FW	Ithomia	spn_terra		B	PE	nipples	LF
77	Pagyris_cymothoe	63.41230564	833.6599731	41.85573959	1153.840027	P	1987.5	331.6330872	28.473	258.305	156.286	60.5	FW	Pagyris	cymothoe	sylvella	B	PE	nipples	LE
312	Hypomenitis_theudelinda	46.72376344	652.2000122	98.07082367	2685.799988	P	3338		30.604	314.645	202.148	64.25	FW	Hypomenitis	theudelinda	zalmunna	B	PE	pillars	LE
298	Godyris_duillia	40.24792183	877	11.09143829		P			43.976	683.312	397.42	58.16	FW	Godyris	duillia		T	PE	pillars	
311	Hypomenitis_libethris	43.09778501	618.4199829	22.06710243		P			28.162	239.522	119.622	49.94	FW	Hypomenitis	libethris		T	PE	pillars	
